prédikunarstólinn,    ˈpʰrɛːtɪkʏnarstouːlɪn
bílstjórar,            ˈpilstjourar
bílstjórarnir,         ˈpilstjourartnɪr
bílstjórasætinu,       ˈpilstjourasaiːtɪnʏ
bílstjórasætið,        ˈpilstjourasaiːtɪð
bílstjóri,            ˈpilstjourɪ
bílstjórinn,           ˈpilstjourɪn
bíltúr,               ˈpiltʰur
bílum,                ˈpiːlʏm
bílunum,               ˈpiːlɔnʏm
bíslagið,              ˈpiːstlaijɪð
bítandi,               ˈpiːtantɪ
bítast,                ˈpiːtast
bítlana,               ˈpihtlana
bítlanna,              ˈpihtlana
bítlarnir,             ˈpihtlartnɪr
bítlunum,              ˈpihtlɔnʏm
bíða,                 ˈpiːða
bíðið,                ˈpiːðɪð
bíó,                  ˈpiːjou
bíóborgin,             ˈpiːjoupɔrcɪn
bíóhöllin,             ˈpiːjouhœtlɪn
bíói,                 ˈpiːjouɪ
bíóin,                ˈpiːjouɪn
bíóinu,                ˈpiːjouɪnʏ
bíómynd,               ˈpiːjoumɪnt
bíómynda,              ˈpiːjoumɪnta
bíómyndir,             ˈpiːjoumɪntɪr
bíómyndum,             ˈpiːjoumɪntʏm
bíómyndunum,           ˈpiːjoumɪntɔnʏm
bíópistill,            ˈpiːjoupɪstɪtl̥
bóasdóttir,            ˈpouːastouhtɪr
bóbó,                 ˈpouːpou
bófar,                ˈpouːar
bófarnir,              ˈpouːartnɪr
bófi,                 ˈpouːɪ
bóga,                 ˈpouːa
bóginn,                ˈpouːjɪn
bók,                  ˈpouːk
bóka,                 ˈpouːka
bókabílar,             ˈpouːkapiːlar
bókabíll,              ˈpouːkapitl̥
bókabúð,               ˈpouːkapuːð
bókaherberginu,        ˈpouːkahɛrpɪcɪnʏ
bókahillunni,          ˈpouːkahɪtlʏnɪ
bókahillur,            ˈpouːkahɪtlʏr
bókanir,               ˈpouːkanɪr
bókanna,               ˈpouːkana
bókar,                ˈpouːkar
bókarinnar,            ˈpouːkarɪnar
bókarkápu,             ˈpouːkarkʰauːpʏ
bókasafn,             ˈpouːkasapn̥
bókasafna,             ˈpouːkasapna
bókasafni,             ˈpouːkasapnɪ
bókasafninu,           ˈpouːkasapnɪnʏ
bókasafnið,            ˈpouːkasapnɪð
bókasafns,             ˈpouːkasaps
bókasafnsins,          ˈpouːkasapsɪns
bókaskáp,              ˈpouːkaskauːp
bókaskápnum,           ˈpouːkskauhpnʏm
bókasöfn,              ˈpouːkasœpn̥
bókasöfnum,            ˈpouːkasœpnʏm
bókað,                ˈpouːkað
bókaútgefenda,         ˈpouːkautcɛvɛnta
bókaútgáfan,           ˈpouːkautkauvan
bókaútgáfu,            ˈpouːkautkauvʏ
bókband,              ˈpoukpant
bókbindari,           ˈpoukpɪntarɪ
bókfærslu,             ˈpoukfaistlʏ
bókfært,               ˈpoukfair̥t
bókhald,              ˈpouːkalt
bókhaldara,            ˈpouːkaltara
bókhaldi,              ˈpouːkaltɪ
bókhaldið,             ˈpouːkaltɪð
bókhalds,              ˈpouːkals
bókin,                ˈpouːcɪn
bókina,                ˈpouːcɪna
bókinni,               ˈpouːcɪnɪ
bókmennta,             ˈpouːkmɛn̥ta
bókmenntafræði,       ˈpouːkmɛn̥tafraiːðɪ
bókmenntafræðingur,   ˈpouːkmɛn̥tafraiːðiŋkʏr
bókmenntanna,          ˈpouːkmɛn̥tana
bókmenntasögu,         ˈpouːkmɛn̥tasœːɣʏ
bókmenntaverk,         ˈpouːkmɛn̥tavɛr̥k
bókmenntaverðlaun,    ˈpouːkmɛn̥tavɛrlœin
bókmenntir,           ˈpouːkmɛn̥tɪr
bókmenntirnar,         ˈpouːkmɛn̥tɪrtnar
bókmenntum,            ˈpouːkmɛn̥tʏm
bókmenntunum,          ˈpouːkmɛn̥tɔnʏm
bóknámsbraut,          ˈpouːknaumsprœiːt
bókstaf,               ˈpoukstav
bókstaflega,           ˈpoukstavlɛɣa
bókstaflegri,          ˈpoukstavlɛɣrɪ
bókstafnum,            ˈpoukstapnʏm
bókum,                ˈpouːkʏm
bókun,                ˈpouːkʏn
bókunarinnar,          ˈpouːkʏnarɪnar
bókunin,               ˈpouːkʏnɪn
bókunina,              ˈpouːkʏnɪna
bókuninni,             ˈpouːkʏnɪnɪ
bókunum,               ˈpouːkɔnʏm
ból,                  ˈpouːl
bólan,                ˈpouːlan
bólar,                ˈpouːlar
bólaði,                ˈpouːlaðɪ
bólfestu,              ˈpoulfɛstʏ
bólginn,               ˈpoulcɪn
bólgið,                ˈpoulcɪð
bólgnar,               ˈpoulnar
bólgnir,               ˈpoulnɪr
bólgusjúkdóma,         ˈpoulkʏsjuktouma
bóli,                 ˈpouːlɪ
bólivíu,               ˈpouːlɪvijʏ
bólið,                ˈpouːlɪð
bólstaðarhlíð,         ˈpoulstaðal̥iːð
bólu,                 ˈpouːlʏ
bóluefni,             ˈpouːlʏɛpnɪ
bólugrafinn,          ˈpouːlʏkravɪn
bólur,                ˈpouːlʏr
bólusetja,            ˈpouːlʏsɛːtja
bólusetningar,         ˈpouːlʏsɛhtniŋkar
bólusetningu,          ˈpouːlʏsɛhtniŋkʏ
bólusótt,             ˈpouːlʏsouht
bómull,               ˈpouːmʏtl̥
bón,                  ˈpouːn
bónda,                ˈpounta
bóndabæ,               ˈpountapaiː
bóndabæina,            ˈpountapaiːjɪna
bóndabæinn,            ˈpountapaiːjɪn
bóndakonan,            ˈpountakʰɔːnan
bóndann,               ˈpountan
bóndans,               ˈpountans
bóndanum,              ˈpountanʏm
bóndi,                ˈpountɪ
bóndinn,               ˈpountɪn
bóngóður,             ˈpouŋkouðʏr
bónorð,               ˈpouːnɔrð
bónorði,               ˈpouːnɔrðɪ
bónus,                ˈpouːnʏs
bónusferð,             ˈpouːnʏsfɛrð
bónuss,                ˈpouːnʏs
bót,                  ˈpouːt
bóta,                 ˈpouːta
bótum,                ˈpouːtʏm
böddu,                ˈpœtʏ
bögglaberann,          ˈpœklapɛːran
bögglast,              ˈpœklast
böggli,                ˈpœklɪ
böggul,                ˈpœkʏl
böggulinn,             ˈpœkʏlɪn
böggum,                ˈpœkʏm
böggunum,              ˈpœkɔnʏm
bökkum,                ˈpœhkʏm
bökkunum,              ˈpœhkɔnʏm
bökum,                ˈpœːkʏm
böl,                  ˈpœːl
bölbænir,              ˈpœlpainɪr
bölið,                ˈpœːlɪð
böll,                 ˈpœl
böllin,                ˈpœlɪn
böllum,                ˈpœlʏm
bölsótast,            ˈpœlsoutast
bölsýni,              ˈpœlsinɪ
bölva,                ˈpœlva
bölvanlega,            ˈpœlvanlɛɣa
bölvar,                ˈpœlvar
bölvað,                ˈpœlvað
bölvaði,               ˈpœlvaðɪ
bölvaðir,              ˈpœlvaðɪr
bölvun,                ˈpœlvʏn
bölvunar,              ˈpœlvʏnar
bölvunina,             ˈpœlvʏnɪna
bölvuð,                ˈpœlvʏð
bölvuðu,               ˈpœlvʏðʏ
bölvuðum,              ˈpœlvʏðʏm
bönd,                 ˈpœnt
böndin,                ˈpœntɪn
böndum,                ˈpœntʏm
böndunum,              ˈpœntɔnʏm
bönkum,                ˈpœiŋ̊kʏm
bönkunum,              ˈpœiŋ̊kɔnʏm
bönkuðu,               ˈpœiŋ̊kʏðʏ
bönn,                 ˈpœn
bönnum,                ˈpœnʏm
bönnuð,                ˈpœnʏð
bönnuðu,               ˈpœnʏðʏ
börk,                 ˈpœr̥k
börkur,                ˈpœr̥kʏr
börmum,                ˈpœrmʏm
börmuðu,               ˈpœrmʏðʏ
börn,                 ˈpœrtn̥
börnin,                ˈpœrtnɪn
börnum,                ˈpœrtnʏm
börnunum,              ˈpœrtnɔnʏm
börum,                ˈpœːrʏm
börunum,               ˈpœːrɔnʏm
börur,                ˈpœːrʏr
börurnar,              ˈpœːrʏrtnar
börðu,                ˈpœrðʏ
börðum,                ˈpœrðʏm
börðumst,              ˈpœrðʏmst
börðust,               ˈpœrðʏst
bötnuðu,               ˈpœhtnʏðʏ
böðlinum,              ˈpœðlɪnʏm
böðulinn,              ˈpœːðʏlɪn
böðull,                ˈpœːðʏtl̥
böðullinn,             ˈpœːðʏtlɪn
böðun,                ˈpœːðʏn
böðuð,                ˈpœːðʏð
böðuðu,                ˈpœːðʏðʏ
böðvar,                ˈpœðvar
böðvars,               ˈpœðvar̥s
böðvarsdóttir,         ˈpœðvar̥stouhtɪr
böðvarsson,            ˈpœðvar̥sɔːn
böðvarssonar,          ˈpœðvar̥sɔːnar
böðvarssyni,           ˈpœðvar̥sɪːnɪ
bú,                   ˈpuː
búa,                  ˈpuːa
búandi,                ˈpuːantɪ
búanna,                ˈpuːana
búar,                 ˈpuːar
búast,                ˈpuːast
búbót,                ˈpuːpout
búdapest,              ˈputapɛst
búdda,                ˈputa
búferlaflutninga,      ˈpuːfɛrtlaflʏhtniŋka
búferlum,              ˈpuːfɛrtlʏm
búfjár,                ˈpuːfjaur
búfræðingurinn,        ˈpuːfraiðiŋkʏrɪn
búfé,                 ˈpuːfjɛ
búgarð,                ˈpuːkarð
búgarði,               ˈpuːkarðɪ
búi,                  ˈpuːɪ
búin,                 ˈpuːɪn
búinn,                ˈpuːɪn
búinu,                ˈpuːɪnʏ
búist,                ˈpuːɪst
búið,                 ˈpuːɪð
búka,                 ˈpuːka
búkana,                ˈpuːkana
búkar,                ˈpuːkar
búkarest,              ˈpuːkarɛst
búkarnir,              ˈpuːkartnɪr
búkinn,                ˈpuːcɪn
búkollu,               ˈpuːkɔtlʏ
búkum,                ˈpuːkʏm
búkur,                ˈpuːkʏr
búkurinn,              ˈpuːkʏrɪn
búlandi,               ˈpuːlantɪ
búlgaría,              ˈpulkarija
búlgaríu,              ˈpulkarijʏ
búllu,                ˈpulʏ
búmm,                 ˈpum
búna,                 ˈpuːna
búnar,                ˈpuːnar
búnað,                ˈpuːnað
búnaðar,               ˈpuːnaðar
búnaðarbanka,          ˈpuːnaðarpauŋ̊ka
búnaðarbankann,        ˈpuːnaðarpauŋ̊kan
búnaðarbankans,        ˈpuːnaðarpauŋ̊kans
búnaðarbankanum,       ˈpuːnaðarpauŋ̊kanʏm
búnaðarbanki,          ˈpuːnaðarpauɲ̊cɪ
búnaðarbankinn,        ˈpuːnaðarpauɲ̊cɪn
búnaðarins,            ˈpuːnaðarɪns
búnaðarsambandinu,     ˈpuːnaðarsampantɪnʏ
búnaði,                ˈpuːnaðɪ
búnaðinn,              ˈpuːnaðɪn
búnaðinum,             ˈpuːnaðɪnʏm
búnaður,               ˈpuːnaðʏr
búnaðurinn,            ˈpuːnaðʏrɪn
búning,                ˈpuːniŋk
búninga,               ˈpuːniŋka
búningana,             ˈpuːniŋkana
búningar,              ˈpuːniŋkar
búningi,               ˈpuːniɲcɪ
búningnum,             ˈpuːniŋkʏm
búningsherbergi,      ˈpuːniŋshɛrpɪcɪ
búningsherberginu,     ˈpuːniŋshɛrpɪcɪnʏ
búningum,              ˈpuːniŋkʏm
búningur,              ˈpuːniŋkʏr
búnir,                ˈpuːnɪr
búnu,                 ˈpuːnʏ
búr,                  ˈpuːr
búrfell,               ˈpur̥fɛtl̥
búri,                 ˈpuːrɪ
búrinu,                ˈpuːrɪnʏ
búrum,                ˈpuːrʏm
búseta,               ˈpuːsɛta
búsett,                ˈpuːsɛht
búsettir,              ˈpuːsɛhtɪr
búsettur,             ˈpuːsɛhtʏr
búsetu,                ˈpuːsɛtʏ
búsins,                ˈpuːsɪns
búskap,                ˈpuːskap
búskapar,              ˈpuːskapar
búskapinn,             ˈpuːskapɪn
búskapnum,             ˈpuːskahpnʏm
búskapur,              ˈpuːskapʏr
búskapurinn,           ˈpuːskapʏrɪn
bústað,                ˈpuːstað
bústaðakirkja,         ˈpuːstaðacʰɪr̥ca
bústaðakirkju,         ˈpuːstaðacʰɪr̥cʏ
bústaðar,              ˈpuːstaðar
bústaðasafn,           ˈpuːstaðɪ
bústaðasafni,          ˈpuːstaðasapnɪ
bústaðaveg,            ˈpuːstaðavɛːɣ
bústaðavegi,           ˈpuːstaðaveiːjɪ
bústaðinn,             ˈpuːstaðɪn
bústaðir,              ˈpuːstaðɪr
bústaðnum,             ˈpuːstaðnʏm
bústaður,             ˈpuːstaðʏr
bústin,                ˈpustɪn
bústna,                ˈpustna
bústnar,               ˈpustnar
bústörfin,             ˈpuːstœrvɪn
bústöðum,              ˈpuːstœðʏm
búsvæði,              ˈpuːsvaiðɪ
bút,                  ˈpuːt
búta,                 ˈpuːta
bútasaumur,           ˈpuːtasœiːmʏr
búum,                 ˈpuːʏm
búð,                  ˈpuːð
búða,                 ˈpuːða
búðanna,               ˈpuːðana
búðarborðið,         ˈpuːðarpɔrðɪð
búðardal,            ˈpuːðartaːl
búðarglugga,         ˈpuːðarklʏka
búðarklettur,        ˈpuːðarkʰlɛhtʏr
búðarsveinninn,      ˈpuːðarsveitnɪn
búðin,                ˈpuːðɪn
búðina,                ˈpuːðɪna
búðinni,               ˈpuːðɪnɪ
búðir,                ˈpuːðɪr
búðirnar,              ˈpuːðɪrtnar
búðu,                 ˈpuːðʏ
búðum,                ˈpuːðʏm
búðunum,               ˈpuːðɔnʏm
bý,                   ˈpiː
býfluga,              ˈpiːflʏɣa
býli,                 ˈpiːlɪ
býlinu,                ˈpiːlɪnʏ
býlisins,              ˈpiːlɪsɪns
býlið,                ˈpiːlɪð
býr,                  ˈpiːr
býrð,                 ˈpirð
býrðu,                ˈpirðʏ
býsn,                 ˈpistn̥
býsna,                ˈpistna
býsnast,               ˈpisnast
býst,                 ˈpist
býtta,                ˈpihta
býtum,                ˈpiːtʏm
býð,                  ˈpiːð
býðst,                ˈpiðst
býður,                ˈpiːðʏr
býðurðu,               ˈpiːðʏrʏ
c,                    ˈsjɛː
cha,                  ˈtsjaː
com,                  ˈkʰɔm
d,                    ˈtjɛː
dabbi,                ˈtapɪ
dadda,                ˈtata
daddi,                ˈtatɪ
dafna,                ˈtapna
dafnar,                ˈtapnar
dafnað,                ˈtapnað
dafnaði,               ˈtapnaðɪ
dafni,                ˈtapnɪ
dag,                  ˈtaːɣ
daga,                 ˈtaːɣa
dagamun,               ˈtaːɣamʏːn
dagamunur,            ˈtaːɣamʏːnʏr
dagana,                ˈtaːɣana
daganna,               ˈtaːɣana
dagar,                ˈtaːɣar
dagarnir,              ˈtaːɣartnɪr
dagatal,              ˈtaːɣatʰaːl
dagatalið,             ˈtaːɣatʰaːlɪð
dagað,                ˈtaːɣað
dagbjartsdóttir,       ˈtaɣpjar̥stouhtɪr
dagbjartsson,          ˈtaɣpjar̥tsɔːn
dagbjartur,           ˈtaɣpjar̥tʏr
dagbjört,             ˈtaɣpjœr̥t
dagbjörtu,             ˈtaɣpjœr̥tʏ
dagblað,              ˈtaɣplað
dagblaða,              ˈtaɣplaða
dagblaðanna,           ˈtaɣplaðana
dagblaði,              ˈtaɣplaðɪ
dagblaðinu,            ˈtaɣplaðɪnʏ
dagblaðið,             ˈtaɣplaðɪð
dagblaðs,              ˈtaɣplaðs
dagblaðsins,           ˈtaɣplaðsɪns
dagblöð,               ˈtaɣplœð
dagblöðin,             ˈtaɣplœðɪn
dagblöðum,             ˈtaɣplœðʏm
dagblöðunum,           ˈtaɣplœðɔnʏm
dagbækur,              ˈtaɣpaikʏr
dagbók,               ˈtaɣpouk
dagbókarfærslur,       ˈtaɣpoukarfair̥stlʏr
dagbókin,              ˈtaɣpoucɪn
dagbókina,             ˈtaɣpoucɪna
dagbókinni,            ˈtaɣpoucɪnɪ
dagbókum,              ˈtaɣpoukʏm
dagfarsprúður,         ˈtaɣfar̥spruːðʏr
daggardropanna,        ˈtaːkartrɔpana
daggjöld,              ˈtaːɣcœlt
daggæslu,              ˈtaːɣcaistlʏ
dagheimili,           ˈtaːɣheimɪlɪ
daginn,                ˈtaiːjɪn
daglangt,              ˈtaɣlauŋ̊t
dagleg,                ˈtaɣlɛɣ
daglega,               ˈtaɣlɛɣa
daglegan,              ˈtaɣlɛɣan
daglegar,              ˈtaɣlɛɣar
daglegra,              ˈtaɣlɛɣra
daglegrar,             ˈtaɣlɛɣrar
daglegri,              ˈtaɣlɛɣrɪ
daglegs,               ˈtaɣlɛxs
daglegt,               ˈtaɣlɛxt
daglegu,               ˈtaɣlɛɣʏ
daglegum,              ˈtaɣlɛɣʏm
daglegur,              ˈtaɣlɛɣʏr
dagljóst,              ˈtaɣljoust
dagmar,               ˈtaɣmar
dagmarar,              ˈtaɣmarar
dagmál,               ˈtaɣmaul
dagmóður,              ˈtaɣmouːðʏr
dagmömmunnar,          ˈtaɣmœmʏnar
dagmömmunni,           ˈtaɣmœmʏnɪ
dagný,                ˈtaɣni
dagnýjar,              ˈtaɣnijar
dagnýju,               ˈtaɣnijʏ
dags,                 ˈtaxs
dagsatt,               ˈtaxsaht
dagsbirtan,            ˈtaxspɪr̥tan
dagsbirtu,             ˈtaxspɪr̥tʏ
dagsbirtuna,           ˈtaxspɪr̥tʏna
dagsbirtunni,          ˈtaxspɪr̥tʏnɪ
dagsbrúnar,            ˈtaxsprunar
dagsdóttir,            ˈtaxstouhtɪr
dagsetning,           ˈtaxsɛhtniŋk
dagsetningar,          ˈtaxsɛhtniŋkar
dagsetningin,          ˈtaxsɛhtniɲcɪn
dagsetningu,           ˈtaxsɛhtniŋkʏ
dagsetningum,          ˈtaxsɛhtniŋkʏm
dagsetninguna,         ˈtaxsɛhtniŋkʏna
dagsett,              ˈtaxsɛht
dagsettu,              ˈtaxsɛhtʏ
dagsettum,             ˈtaxsɛhtʏm
dagsferð,              ˈtaxsfɛrð
dagsferðir,            ˈtaxsfɛrðɪr
dagsins,               ˈtaxsɪns
dagskammtur,           ˈtaxskam̥tʏr
dagskamt,              ˈtaxskam̥t
dagskrá,              ˈtaxskrau
dagskráin,             ˈtaxskrauɪn
dagskrána,             ˈtaxskrauna
dagskránni,            ˈtaxskraunɪ
dagskrár,              ˈtaxskraur
dagskrárbrot,          ˈtaxskraurprɔːt
dagskrárgerð,          ˈtaxskraurcɛrð
dagskrárinnar,         ˈtaxskraurɪnar
dagskrárlok,           ˈtaxskraurlɔːk
dagskrárnefndinni,     ˈtaxskraurnɛmtɪnɪ
dagsljósið,            ˈtaxstljousɪð
dagsson,               ˈtaxsɔːn
dagstofuna,            ˈtaxstɔvʏna
dagstofunni,           ˈtaxstɔvʏnɪ
dagsverk,             ˈtaxsvɛr̥k
dagsverki,             ˈtaxsvɛr̥cɪ
dagur,                ˈtaːɣʏr
dagurinn,              ˈtaːɣʏrɪn
dagvaktinni,           ˈtaɣvaxtɪnɪ
dagvaktir,             ˈtaɣvaxtɪr
dagvinnu,              ˈtaɣvɪnʏ
dagvinnulaun,          ˈtaɣvɪnʏlœiːn
dagvist,              ˈtaɣvɪst
dagvistinni,           ˈtaɣvɪstɪnɪ
dagvistun,            ˈtaɣvɪstʏn
dal,                  ˈtaːl
dala,                 ˈtaːla
dalabræður,            ˈtaːlapraiðʏr
dalabyggð,            ˈtaːlapɪɣð
dalagötu,              ˈtaːlakœːtʏ
dalakofa,              ˈtaːlakʰɔva
dalalíf,               ˈtaːlaliːv
dalandi,               ˈtaːlantɪ
dalasýslu,             ˈtaːlasistlʏ
dalbraut,              ˈtalprœit
dalbæ,                ˈtalpai
dalbú,                ˈtalpu
dali,                 ˈtaːlɪ
dalina,                ˈtaːlɪna
dalinn,                ˈtaːlɪn
dalir,                ˈtaːlɪr
dalkvist,              ˈtalkʰvɪst
dall,                 ˈtatl̥
dalla,                ˈtatla
dallinn,               ˈtatlɪn
dalnum,                ˈtalnʏm
dalsbraut,             ˈtalsprœit
dalsgerði,             ˈtalscɛrðɪ
dalsins,               ˈtalsɪns
dalslóðann,            ˈtalstlouðan
dalsmynni,            ˈtalsmɪnɪ
dalur,                ˈtaːlʏr
dalurinn,              ˈtaːlʏrɪn
dalveg,                ˈtalvɛɣ
dalvegi,               ˈtalveijɪ
dalverpi,             ˈtalvɛr̥pɪ
dalvík,                ˈtalvik
dalvíkingar,           ˈtalviciŋkar
dalvíkur,              ˈtalvikʏr
dalvíkurbyggð,        ˈtalvikʏrpɪɣð
dalvíkurbyggðar,       ˈtalvikʏrpɪɣðar
dalvíkurhöfn,          ˈtalvikʏrhœpn̥
dalvíkurskóla,         ˈtalvikʏrskouːla
dama,                 ˈtaːma
daman,                ˈtaːman
damaskus,              ˈtaːmaskʏs
damla,                ˈtamla
dampi,                ˈtam̥pɪ
dan,                  ˈtaːn
dana,                 ˈtaːna
danaveldi,             ˈtaːnavɛltɪ
dangla,                ˈtauŋla
danglaði,              ˈtauŋlaðɪ
dani,                 ˈtaːnɪ
daninn,                ˈtaːnɪn
danir,                ˈtaːnɪr
danirnir,              ˈtaːnɪrtnɪr
danmerkur,             ˈtanmɛr̥kʏr
danmörk,              ˈtanmœr̥k
danmörku,              ˈtanmœr̥kʏ
dans,                 ˈtans
dansa,                ˈtansa
dansana,               ˈtansana
dansandi,              ˈtansantɪ
dansar,                ˈtansar
dansara,               ˈtansara
dansarar,              ˈtansarar
dansararnir,           ˈtansarartnɪr
dansari,               ˈtansarɪ
dansarnir,             ˈtansartnɪr
dansað,                ˈtansað
dansaði,               ˈtansaðɪ
dansaðu,               ˈtansaðʏ
dansflokknum,          ˈtansflɔhknʏm
dansflokksins,         ˈtansflɔhksɪns
dansflokkurinn,        ˈtansflɔhkʏrɪn
dansgólf,              ˈtanskoulv
dansgólfið,            ˈtanskoulvɪð
danshöfundur,          ˈtanshœvʏntʏr
dansi,                ˈtansɪ
dansiböllum,           ˈtansɪpœtlʏm
dansinn,               ˈtansɪn
dansinum,              ˈtansɪnʏm
danska,                ˈtanska
danskan,               ˈtanskan
danskar,               ˈtanskar
danskennsla,           ˈtanscʰɛnstla
danskennurum,          ˈtanscʰɛnʏrʏm
danski,                ˈtanscɪ
danskir,               ˈtanscɪr
danskra,               ˈtanskra
danskri,               ˈtanskrɪ
danskt,                ˈtanst
danskur,               ˈtanskʏr
dansleik,              ˈtanstleik
dansleiki,             ˈtanstleicɪ
dansleikur,           ˈtanstleikʏr
dansnótta,             ˈtanstnouhta
dansspor,              ˈtanspɔːr
danstími,              ˈtanstʰiːmɪ
danstónlist,           ˈtanstʰounlɪst
dansverk,              ˈtansvɛr̥k
dansverka,             ˈtansvɛr̥ka
daníel,                ˈtaːnijɛl
daníels,               ˈtaːnijɛls
daníelsdóttir,         ˈtaːnijɛlstouhtɪr
daníelsson,            ˈtaːnijɛlsɔːn
daníelssonar,          ˈtaːnijɛlsɔːnar
daprir,                ˈtaːprɪr
dapur,                ˈtaːpʏr
dapurleg,              ˈtaːpʏrlɛɣ
dapurlegan,            ˈtaːpʏrlɛɣan
dapurlegar,            ˈtaːpʏrlɛɣar
dapurlegt,             ˈtaːpʏrlɛxt
dapurlegu,             ˈtaːpʏrlɛɣʏ
dapurlegur,            ˈtaːpʏrlɛɣʏr
dapurleika,            ˈtaːpʏrleiːka
dapurt,                ˈtaːpʏr̥t
darra,                ˈtara
darrasyni,             ˈtarasɪːnɪ
darri,                ˈtarɪ
das,                  ˈtaːs
dasaður,               ˈtaːsaðʏr
dastu,                ˈtastʏ
datt,                 ˈtaht
dauf,                 ˈtœiv
daufa,                ˈtœiːva
daufan,                ˈtœiːvan
daufar,                ˈtœiːvar
daufari,               ˈtœiːvarɪ
daufir,                ˈtœiːvɪr
daufleg,               ˈtœivlɛɣ
dauflega,              ˈtœivlɛɣa
dauflegt,              ˈtœivlɛxt
daufri,                ˈtœivrɪ
dauft,                ˈtœift
daufu,                ˈtœiːvʏ
daufum,                ˈtœiːvʏm
daufur,                ˈtœiːvʏr
daus,                 ˈtœis
dautt,                ˈtœiht
dauð,                 ˈtœiːð
dauða,                ˈtœiːða
dauðadags,             ˈtœiːðataxs
dauðadrukkinn,        ˈtœiːðatrʏhcɪn
dauðadái,              ˈtœiːðatauɪ
dauðadóm,              ˈtœiːðatouːm
dauðadómur,           ˈtœiːðatouːmʏr
dauðafæri,            ˈtœiːðafaiːrɪ
dauðahaf,              ˈtœiðahav
dauðahaldi,            ˈtœiːðahaltɪ
dauðaleit,            ˈtœiːðaleiːt
dauðan,                ˈtœiːðan
dauðann,               ˈtœiːðan
dauðans,               ˈtœiːðans
dauðanum,              ˈtœiːðanʏm
dauðar,                ˈtœiːðar
dauðarefsingar,        ˈtœiːðarɛfsiŋkar
dauðarokkara,          ˈtœiðarɔhkara
dauðaslys,            ˈtœiðastlɪs
dauðastjarnan,         ˈtœiðastjartnan
dauðastjörnunni,       ˈtœiðastjœrtnʏnɪ
dauðastríð,           ˈtœiːðastriːð
dauðastríðið,          ˈtœiːðastriːðɪð
dauðastund,           ˈtœiːðastʏnt
dauðasynd,            ˈtœiːðasɪnt
dauðateygjum,          ˈtœiðatʰeijʏm
dauðbrá,               ˈtœiðprau
dauðdagi,             ˈtœiðtaijɪ
dauðfegin,             ˈtœiðfeijɪn
dauðhræddur,           ˈtœiðr̥aitʏr
dauðhvítar,            ˈtœiðkʰvitar
dauði,                ˈtœiːðɪ
dauðinn,               ˈtœiːðɪn
dauðir,                ˈtœiːðɪr
dauðlangar,            ˈtœiðlauŋkar
dauðlangaði,           ˈtœiðlauŋkaðɪ
dauðleg,               ˈtœiðlɛɣ
dauðlegra,             ˈtœiðlɛɣra
dauðlegur,             ˈtœiðlɛɣʏr
dauðra,                ˈtœiðra
dauðs,                ˈtœiðs
dauðsfalla,            ˈtœiðsfatla
dauðsföll,             ˈtœiðsfœtl̥
dauðsföllum,           ˈtœiðsfœtlʏm
dauðsá,                ˈtœiðsau
dauðu,                ˈtœiːðʏ
dauðum,                ˈtœiːðʏm
dauður,                ˈtœiːðʏr
dauðvona,             ˈtœiðvɔna
dauðþreytt,            ˈtœiðθreiht
dauðþreyttur,         ˈtœiðθreihtʏr
davíð,                ˈtaːvið
davíðs,                ˈtaːviðs
davíðsdóttir,          ˈtaːviðstouhtɪr
davíðsdóttur,          ˈtaːviðstouhtʏr
davíðsson,             ˈtaːviðsɔːn
davíðssonar,           ˈtaːviðsɔːnar
davíðssyni,            ˈtaːviðsɪːnɪ
davíðssálmur,          ˈtaːviðsaulmʏr
daða,                 ˈtaːða
daðason,               ˈtaːðasɔːn
daði,                 ˈtaːðɪ
daðra,                ˈtaðra
daðraði,               ˈtaðraðɪ
daðri,                ˈtaðrɪ
daður,                ˈtaːðʏr
de,                   ˈtɛː
debet,                ˈtɛːpɛt
debetkort,            ˈtɛːpɛtkʰɔr̥t
debetkortareikning,    ˈtɛːpɛtkʰɔr̥tareihkniŋk
debetkorti,            ˈtɛːpɛtkʰɔr̥tɪ
dedda,                ˈtɛta
deddi,                ˈtɛtɪ
dedúa,                ˈtɛːtua
degi,                 ˈteiːjɪ
deginum,               ˈteijɪnʏm
deig,                 ˈteiːɣ
deigan,                ˈteiːɣan
deiginu,               ˈteijɪnʏ
deigið,                ˈteiːjɪð
deiglan,               ˈteiklan
deiglunni,             ˈteiklʏnɪ
deila,                ˈteiːla
deilan,                ˈteiːlan
deild,                ˈteilt
deilda,                ˈteilta
deildabikarkeppni,     ˈteiltapɪːkarcʰɛhpnɪ
deildabikarnum,        ˈteiltapɪːkartnʏm
deildakeppninni,       ˈteiltacʰɛhpnɪnɪ
deildar,               ˈteiltar
deildarforingi,        ˈteiltarfɔriɲcɪ
deildarforseti,        ˈteiltarfɔr̥sɛtɪ
deildarfundir,         ˈteiltarfʏntɪr
deildarinnar,          ˈteiltarɪnar
deildarkeppnin,        ˈteiltarcʰɛhpnɪn
deildarkeppninni,      ˈteiltarcʰɛhpnɪnɪ
deildarleik,           ˈteiltarleiːk
deildarleiki,          ˈteiltarleiːcɪ
deildarlið,           ˈteiltarlɪːð
deildarliðinu,         ˈteiltarlɪːðɪnʏ
deildarliðið,          ˈteiltarlɪːðɪð
